adbb	All done, bye-bye
aeap	As early as possible
afaic	As far as I concerned
afaik	As far as I know
afaiui	As far as I understand it
ah	At home
aisi	As I see it
aka	Also known as
alol	Actually laughing out loud
amap	as much as possible
ambw	All my best wishes
aml	All my love
amof	as a matter of fact
app	Application
asap	as soon as possible
auok	Are you ok?
bf	Boyfriend
bff	best friends forever
bg	Background
bhl8	Be home late
bif	Before I forget
bion	Believe it or not
brb	be right back
btw	by the way
cb	Coffee break
cm	Call me
cmb	Call me back
cmon	Come on
cos	Because
cqrt	Security
cr8	Create
crbt	Crying really big tears
crz	Crazy
csl	Can’t stop laughing
ct	Can’t talk
ctn	Can’t talk now
cu	See you
cua	See you around
cul	See you later
df	Dear friend
diy	do it yourself
dnr	Dinner
ema	E-mail address
fb	Facbook
fc	Fingers crossed
fw	Forward
fyi	for your information
ga	Go ahead
gbu	God bless you
gf	Girlfriend
gfi	Go for it
gj	Good job
gl	Good luck
gl2u	Good luck to you
gn	Good night
h-bday	Happy Birthday
hagn	Have a good night
hand	Have a nice day
hau	How about you?
hbd	happy birthday
hbu	How about you?
hf	Have fun
htcus	Hope to see you soon
hw	Homework
iac	In any case
ib	I’m back
ic	I see 
icam	I couldn’t agree more
idbi	I don’t believe it
idc	I don’t care
idk	I don't know
idts	I don’t think so
idunno	I don’t know
ig	Instagram
ihni	I have no idea
ik	I know
ilbl8	I』ll be late
ilu	I love you
ily	I love you
imo	In my opinion
ims	I am sorry
imsb	I am so bored
imu	I miss you
iow	In other words
jac	Just a second
jam	Just a minute
jdi	Just do it
jff	Just for fun
jic	Just in case
jj	Just joking
jk	just kidding
kk	Okay, okay
lho	Laughing head off
lmao	laugh my ass off
lmk	let me know
lol	Laughing out loud
lolo	Lots of love
mlm	Meaning give the middle finger
nalopkt	Not a lot of people know that
nbd	No big deal
nfs	Not for sale
nm	Never mind
no1	No one
np	No problem
nthing	Nothing
nvm	Never mind
nvr	Never
nw	No way
oic	Oh I see
om	Oh, my 
omdb	Over my dead body
omg	Oh my god
omw	on my way
otp	On the phone
ott	Over the top
otw	Off to work
pcm	Please call me
plz	please
pov	Point of view
ptmm	Please tell me more
pxt	Please explain that
qq	Quick question
rut	Are you there?
sb	Should be
sb	Smiling back
sc	Stay cool
sdmb	Sweet dreams, my baby
sit	Stay in touch
slap	Sounds like a plan
sol	Sooner or later
spst	Same place, same time
sul	See you later
sys	See you soon
tbc	To be continued
tbh	to be honest
tbl	Text back later
tc	Take care
thnq	Thank you
thx	thanks
tia	Thanks in advance
tmb	Text me back
tmi	too much information
tmr	tomorrow
ttg	Time to go
ttyl	talk to you later
ttys	Talk to you soon
tysm	Thank you so much
tyt	Take your time
tyvm	Thank you very much
uah	You are hot
ur	You are 你是……
urw	You are welcome
vbs	Very big smile
vfm	Value for money
vgc	Very good condition
wam	Wait a minute
was	Wait a second
wayf	Where are you from?
wb	Welcome back
wbu	What about you?
wc	Who cares?
wru	Where are you
wrud	What are you doing?
wtf	what the fuck
wywh	Wish you were here
yaw	You are welcome
yiu	Yes, I understand
ykw	You know what
ynk	You never know
ytb	You’re the best
